,address,birthdate,blood_group,company,job,mail,name,phone,residence,sex,ssn,username,website
151,"г. Кабанск, ул. Сахалинская, д. 40, 168021",1981-10-03,B-,ИП «Соболева»,Инженер-лаборант,akim2003hariton_1983@hotmail.com,Соболев Юрий Ильясович,+7 641 359 0794,"к. Троицк (Моск.), ул. Зеленая, д. 13, 323758",M,828682878716,karp1997vladilen_1974,"['https://www.vorontsov.biz/', 'https://ip.net/', 'https://kotov.org/', 'https://ao.biz/']"
152,"ст. Нижнеудинск, ул. Солнечная, д. 22, 266873",1989-01-31,A-,РАО «Титов»,Фуражир,titdanilov@rambler.ru,Алексеев Вацлав Гордеевич,+7 (024) 346-77-90,"с. Воркута, ул. 50 лет Победы, д. 94, 030014",M,139020812630,saveli1982ipat_2009,"['http://www.ao.org/', 'https://www.karpov.info/']"
153,"п. Лабинск, ул. Прудовая, д. 65, 890573",1987-07-02,AB-,АО «Афанасьева-Новикова»,Серпентолог,ybobilev@rambler.ru,Лазарев Панфил Захарьевич,+7 588 777 0069,"п. Санкт-Петербург, ул. Высоковольтная, д. 65, 053937",M,585737710148,fokinapraskovja,"['http://www.ip.biz/', 'https://www.ip.info/', 'http://www.gordeeva.net/']"
154,"п. Северобайкальск, ул. Фабричная, д. 19, 944896",1990-07-01,A+,ИП «Пестов-Лапин»,Инженер-физик,viktorin1981pahom_1970@yahoo.com,Петухова Пелагея Феликсовна,+7 943 554 4686,"клх Бодайбо, ул. Автомобилистов, д. 61, 341678",F,048808666686,sharovsilanti,['http://gorbacheva.biz/']
155,"с. Тамбов, ул. Короткая, д. 36, 024068",1990-03-02,0+,"АО «Сысоев, Филатов и Некрасов»",Лингвист,filippovnifont@yandex.ru,Афанасьев Чеслав Фёдорович,+7 718 141 17 78,"с. Нижнеудинск, ул. Щетинкина, д. 90, 141235",M,800343820679,pkrilova,"['https://www.belozerov.info/', 'http://www.npo.biz/']"
156,"к. Астрахань, ул. Попова, д. 31, 029254",1973-05-09,A-,РАО «Кабанова-Кулагина»,Специалист по клеточным технологиям,hmaksimov@gmail.com,Козлова Евпраксия Руслановна,+7 (013) 881-01-89,"клх Радужный, ул. Комарова, д. 93, 569191",F,966729209288,makarkomissarov,['http://rao.info/']
157,"клх Галич, ул. Мелиоративная, д. 88, 244678",1984-09-25,AB+,"ИП «Игнатова, Мишина и Карпов»",Географ,juli1986efrem_1980@mail.ru,Яковлев Милован Харламович,+7 (896) 417-9390,"ст. Усть-Кулом, ул. Циолковского, д. 54, 009351",M,987503526318,kolesnikovfilaret,"['https://www.vladimirova.net/', 'http://www.rao.info/']"
158,"к. Муром, ул. Брянская, д. 55, 435029",1997-10-28,B+,ИП «Панова Гришина»,Печатник,avde_53@mail.ru,Матвеева Ираида Рудольфовна,+7 903 848 8959,"г. Невельск, ул. 8-е Марта, д. 00, 974825",F,208013256287,fominermola,"['http://rao.biz/', 'https://ao.net/', 'http://vinogradova.biz/', 'https://www.ip.net/']"
159,"г. Биробиджан, ул. Иванова, д. 02, 604706",2000-02-21,A+,РАО «Ермаков Осипов»,Штурман,jaroslav1980veniamin_1990@hotmail.com,Кулакова Феврония Антоновна,+7 (537) 957-74-74,"ст. Дмитров, ул. Кирпичная, д. 00, 960163",F,163988697707,filipp1982filaret_1994,"['http://maksimova.ru/', 'https://npo.ru/', 'https://antonov.ru/']"
160,"ст. Шарья, ул. Коммунальная, д. 74, 377199",1984-07-23,B-,НПО «Давыдов Копылов»,Пчеловод,adam2015gorde_2014@mail.ru,Громова Валентина Макаровна,+7 623 639 4071,"г. Тура, ул. Харьковская, д. 21, 182441",F,008791258345,ddrozdova,['https://www.teterin.info/']
161,"п. Мичуринск, ул. Мостовая, д. 59, 135694",1978-04-16,0+,АО «Сафонов-Пахомов»,Военный дознаватель,moke48@hotmail.com,Соколова Алина Никифоровна,+7 (283) 974-4001,"к. Верхотурье, ул. Свободы, д. 15, 618988",F,792558228264,kondratevstepan,"['https://rao.net/', 'http://rao.biz/']"
162,"клх Игнашино, ул. Павлика Морозова, д. 70, 880513",1971-04-12,0-,Селезнев,Востоковед,refimov@mail.ru,тов. Мамонтов Аникита Валерьевич,+7 (320) 075-3158,"ст. Самара, ул. Степана Разина, д. 46, 667962",M,644692172009,strelkovarefi,"['http://ip.biz/', 'https://ao.ru/', 'http://rao.net/']"
163,"к. Рославль, ул. Средняя, д. 43, 623170",2000-08-23,0+,АО «Галкина»,Терапевт,kuprijan1971vsemil_2011@mail.ru,Агафонова Кира Константиновна,+7 (476) 066-8835,"д. Баргузин, ул. Ростовская, д. 85, 365410",F,205876154833,beljaeviosif,['http://ip.info/']
164,"п. Петрозаводск, ул. Макаренко, д. 82, 518811",1983-10-12,0-,"ИП «Мухина, Галкина и Бобылева»",Менеджер,prokl1981leonti_2017@rambler.ru,Мамонтов Петр Эдгардович,+7 (000) 217-6070,"к. Усть-Камчатск, ул. Разина, д. 64, 580111",M,801831390843,lfokina,"['http://ao.com/', 'http://www.haritonov.info/', 'http://npo.org/']"
165,"клх Далматово, ул. Челюскинцев, д. 01, 683957",1999-12-22,0-,"АО «Сафонова, Абрамов и Горшкова»",Архивариус,evstigne27@mail.ru,Цветков Остромир Григорьевич,+7 073 280 8433,"клх Забайкальск, ул. Астраханская, д. 24, 619204",M,624187417753,ernst17,"['https://www.npo.biz/', 'http://www.kovalev.ru/', 'https://rao.net/', 'http://www.rao.edu/']"
166,"с. Нижний Тагил, ул. Заозерная, д. 82, 935240",1982-07-08,A-,"АО «Аксенова, Киселев и Сорокина»",Садовник,guvarova@gmail.com,Панфилова Любовь Константиновна,+7 283 909 8681,"д. Добрянка, ул. Р.Люксембург, д. 84, 284710",F,404998639929,miheevostap,"['https://www.npo.biz/', 'http://rao.net/', 'https://www.npo.ru/', 'http://rao.org/']"
167,"п. Середниково, ул. Кленовая, д. 77, 189709",1983-03-04,B+,РАО «Павлов»,Зоотехник,stojan_36@gmail.com,Елисеева Надежда Валентиновна,+7 126 688 99 68,"клх Шелагонцы, ул. Вольная, д. 22, 214876",F,294924003908,anikita1982stepan_1989,"['https://npo.org/', 'http://www.rao.com/', 'http://npo.net/']"
168,"клх Беслан, ул. Огородная, д. 17, 792589",1976-12-25,AB+,ИП «Филатов-Лихачев»,Инженер-энергетик,judinustin@hotmail.com,Белоусов Изяслав Феликсович,+7 (396) 975-3095,"д. Урюпинск, ул. Кооперативная, д. 44, 571642",M,780034342462,kopilovnestor,"['http://makarov.info/', 'https://npo.biz/', 'http://ip.ru/', 'http://ip.org/']"
169,"д. Яшалта, ул. Мельничная, д. 67, 786849",2010-09-23,AB+,"НПО «Одинцов, Матвеев и Комиссарова»",Сомнолог,selivan42@yandex.ru,Кулакова Евгения Владимировна,+7 (586) 547-3386,"с. Сарапул, ул. Механическая, д. 68, 800354",F,379147778870,avdeevaveronika,"['https://www.ao.ru/', 'http://rao.ru/']"
170,"г. Абинск, ул. Иркутская, д. 06, 329184",2001-09-14,0-,Алексеев,Эндоскопист,samolovtvorimir@gmail.com,г-н. Казаков Терентий Гордеевич,+7 (404) 407-2738,"с. Витим, ул. Проточная, д. 54, 952763",M,808866788620,kolesnikovalora,"['https://www.ip.info/', 'https://www.ip.info/']"
171,"клх Ухта, ул. Бажова, д. 67, 140475",1993-03-18,AB+,РАО «Елисеев»,Медник,kasjan_36@rambler.ru,Андреев Станимир Даниилович,+7 (702) 880-97-26,"д. Новомосковск, ул. Городская, д. 16, 416000",M,620410134658,grigorevatatjana,"['http://www.ao.org/', 'https://www.ip.biz/', 'http://www.npo.org/', 'https://www.ao.info/']"
172,"с. Пятигорск, ул. Радищева, д. 53, 973639",1996-06-29,0+,"АО «Зайцева, Данилова и Емельянов»",Токсиколог,ipatsazonov@yahoo.com,Александрова Галина Кирилловна,+7 (462) 848-41-87,"д. Сузун, ул. Безымянная, д. 95, 766141",F,669503737037,abramovolimpi,['https://ip.org/']
173,"ст. Якутск, ул. Первомайская, д. 12, 715576",2001-05-18,AB+,АО «Силин-Яковлев»,Артиллерист,kallistrat_76@yahoo.com,Потапова Лидия Эдуардовна,+7 (405) 727-7492,"п. Озеры, ул. Харьковская, д. 51, 593420",F,117177487719,terentevvissarion,"['https://www.djachkov.org/', 'http://doronina.com/', 'http://www.npo.biz/', 'http://www.rao.ru/']"
174,"п. Туруханск, ул. Большая, д. 43, 108848",2013-08-06,AB+,"АО «Панова, Кириллов и Борисов»",Юрисконсульт,prokofi03@gmail.com,Дроздов Игнатий Ефимович,+7 066 454 5415,"ст. Тула, ул. Бабушкина, д. 79, 921851",M,657305873215,krasilnikovostap,"['https://npo.ru/', 'http://www.rao.biz/', 'http://www.ip.com/', 'https://www.ip.ru/']"
175,"г. Нарьян-Мар, ул. Веселая, д. 03, 956442",2014-06-11,B-,РАО «Белоусова-Шилов»,Вирусолог,pahompestov@mail.ru,Шилов Леонид Феодосьевич,+7 (040) 882-15-46,"с. Кунгур, ул. Лесная, д. 53, 730154",M,354064737622,vishnjakovaanastasija,['http://www.npo.ru/']
176,"с. Звенигород, ул. Сахалинская, д. 34, 444117",1972-06-20,A+,"АО «Кириллов, Морозова и Трофимов»",Танкист,ivanovgrigori@yahoo.com,Сазонов Давыд Эдгарович,+7 434 100 4915,"д. Торжок, ул. Станционная, д. 88, 200140",M,480115682369,izjaslav91,['https://rao.edu/']
177,"с. Жиганск, ул. Свободная, д. 72, 902595",1996-08-04,B+,НПО «Степанов»,Бортмеханик,adamantonov@hotmail.com,Горбачев Никифор Иларионовичх,+7 674 291 33 34,"к. Павловский Посад, ул. Полтавская, д. 70, 253244",M,062363151611,izmail2004valentin_1990,"['http://www.npo.org/', 'http://ao.biz/', 'https://ip.biz/', 'https://www.ao.net/']"
178,"к. Щелково, ул. Хвойная, д. 00, 551044",1995-02-21,0-,"РАО «Гусева, Калинина и Котова»",Наводчик орудия,lavrenti1997radim_1990@hotmail.com,г-н. Князев Самсон Артёмович,+7 (053) 954-12-74,"п. Сортавала, ул. Камская, д. 04, 806056",M,559480591019,anazarov,"['http://npo.net/', 'https://rao.net/', 'https://poljakova.ru/', 'https://ao.ru/']"
179,"г. Сладково, ул. Февральская, д. 14, 664033",2005-03-06,0+,АО «Мухина»,Животновод,feofan1998averjan_1982@yahoo.com,Дементьев Гремислав Алексеевич,+7 (599) 268-9090,"п. Горячинск, ул. Слободская, д. 62, 591342",M,891008306998,pavlovevse,['http://npo.edu/']
180,"с. Чебаркуль, ул. Шишкина, д. 25, 019660",1994-08-02,AB+,НПО «Константинова»,Психолог,popovevdokim@gmail.com,Нестеров Илья Богданович,+7 753 335 39 68,"г. Голицыно, ул. Заречная, д. 54, 871863",M,553061029400,kulaginapollon,"['http://www.aleksandrov.biz/', 'https://npo.ru/', 'https://npo.org/']"
181,"д. Чита, ул. Буденного, д. 42, 462791",1980-01-14,A+,АО «Егоров»,Жиловщик/Обвальщик,georgi37@gmail.com,Тетерина Лидия Антоновна,+7 838 717 23 08,"г. Алагир, ул. Раздольная, д. 18, 961455",F,810198269245,ignatovvatslav,['https://npo.net/']
182,"клх Мурманск, ул. Пограничная, д. 32, 110564",1981-02-12,A+,"АО «Доронина, Ларионов и Савельева»",Программист,koroleverofe@yandex.ru,Белова Дарья Валериевна,+7 365 311 5456,"клх Усмань, ул. Тульская, д. 49, 479732",F,894049940307,januari1989stojan_1998,"['http://ip.edu/', 'http://www.ip.com/', 'http://www.npo.com/']"
183,"с. Хасан, ул. Короленко, д. 34, 098285",1996-03-08,B-,РАО «Дмитриев Семенов»,Полицейский,ivanovradovan@hotmail.com,Исакова Людмила Робертовна,+7 918 242 5722,"д. Курчатов, ул. Металлургов, д. 30, 149374",F,180444875951,fade1984visheslav_2016,['http://ip.edu/']
184,"ст. Белый Яр (Томск.), ул. Мельничная, д. 41, 064790",1996-12-09,0-,НПО «Мамонтов Носков»,Лоцман,frolovaveronika@yahoo.com,Макарова Вероника Вадимовна,+7 343 140 36 42,"д. Домодедово, ул. Грибоедова, д. 87, 121166",F,879799845641,german24,"['http://www.rao.com/', 'http://www.ip.ru/']"
185,"клх Аша, ул. Тургенева, д. 89, 849786",1981-01-16,B+,РАО «Русакова Лаврентьева»,Шифровальщик,konstantin_25@yandex.ru,Сысоев Сидор Исидорович,+7 342 790 6819,"п. Ряжск, ул. Мирная, д. 46, 643254",M,340565877662,lukinavarvara,"['http://www.rao.edu/', 'http://www.npo.net/']"
186,"п. Ижевск, ул. Щербакова, д. 35, 954535",2011-10-02,0+,АО «Шилов-Гурьева»,Уборщик,alevtina2017vladilen_1984@yahoo.com,Комарова Анастасия Евгеньевна,+7 (248) 924-93-83,"клх Кемерово, ул. Аэродромная, д. 58, 689470",F,759438677936,larionovkondrati,"['http://rao.org/', 'https://www.bobrova.info/']"
187,"д. Наро-Фоминск, ул. Нахимова, д. 49, 030347",1998-11-14,AB+,"РАО «Большакова, Голубев и Афанасьев»",Палеонтолог,nikonovdmitri@gmail.com,Пономарева Ольга Ильинична,+7 258 106 8582,"г. Бугуруслан, ул. Красногвардейская, д. 77, 883628",F,120104988154,svjatoslavsemenov,"['http://rao.info/', 'https://rao.info/', 'https://www.npo.ru/']"
188,"клх Котельнич, ул. Гражданская, д. 08, 599094",2006-03-08,B+,Фадеева,Электрик,kolesnikovfoma@yahoo.com,Анисимова Антонина Захаровна,+7 921 262 17 31,"г. Элиста, ул. Черемуховая, д. 00, 977162",F,850316224632,kotovpanfil,['http://npo.ru/']
189,"к. Завьялиха, ул. Учительская, д. 17, 625822",2013-07-05,0+,Крылова,Зенитчик,nekrasovbogdan@hotmail.com,Беляев Пров Денисович,+7 (686) 927-31-26,"к. Ясный (Оренб.), ул. Сибирская, д. 45, 028110",M,793421691901,julija2003galaktion_1989,"['https://rao.edu/', 'http://www.kazakova.org/', 'http://ao.info/']"
190,"к. Гудермес, ул. Томская, д. 21, 175166",1980-06-29,B-,Борисова,Токсиколог,sofija21@rambler.ru,Журавлев Назар Игнатович,+7 (846) 362-44-74,"с. Орск, ул. Каштановая, д. 12, 062359",M,746820881185,akim_31,"['https://ignatev.org/', 'https://www.ao.net/', 'http://www.npo.net/']"
191,"к. Черкесск, ул. Тепличная, д. 12, 006130",1973-05-31,0+,"ИП «Антонова, Капустин и Кулагин»",Борт-инженер,dorofe11@rambler.ru,Коновалов Евсей Эдгардович,+7 (473) 078-81-80,"к. Адыгейск, ул. Дорожная, д. 79, 968756",M,336969908595,morozovmodest,"['https://www.ivanova.org/', 'http://www.djachkova.net/', 'http://www.npo.biz/', 'https://ip.ru/']"
192,"п. Тарко-Сале, ул. Карбышева, д. 25, 823805",1985-02-01,0+,Фокин,Садовод,tjudin@yandex.ru,Родионова Элеонора Ефимовна,+7 (588) 298-5298,"ст. Усть-Баргузин, ул. Весенняя, д. 52, 293262",F,538044435336,anike86,"['https://ip.com/', 'http://www.ip.edu/']"
193,"п. Челябинск, ул. Рязанская, д. 96, 594091",1999-11-13,B+,"РАО «Зыков, Маслова и Карпов»",Астрофизик,mamontovamilitsa@mail.ru,Субботин Рюрик Ефстафьевич,+7 911 629 8680,"клх Партизанск, ул. Дальняя, д. 84, 745156",M,036653879894,fedosi_16,"['https://isakova.org/', 'https://www.ao.biz/']"
194,"г. Сосногорск, ул. Металлистов, д. 63, 851662",2013-01-22,0+,Зайцев,Механик-Водитель,osipovavalerija@yahoo.com,Анисимов Тит Геннадиевич,+7 (298) 481-57-73,"клх Сургут (Хант.), ул. Прудовая, д. 81, 981158",M,144440964151,solovevpanfil,"['http://ip.ru/', 'https://gorshkov.info/', 'https://burova.org/']"
195,"с. Петухово, ул. Свободная, д. 54, 379717",1983-10-14,0+,"ИП «Белов, Исаев и Богданова»",Начальник гаупвахты,lvolkova@yandex.ru,Федорова Марфа Даниловна,+7 (868) 815-0818,"к. Троицко-Печорск, ул. Победы, д. 94, 290460",F,549429136512,fominaglafira,"['http://vishnjakov.com/', 'https://www.npo.biz/', 'https://rao.com/', 'http://www.gorbunov.ru/']"
196,"с. Чехов, ул. Смоленская, д. 02, 646716",2005-07-03,AB-,Сазонов,Программист,rnekrasov@rambler.ru,Гусев Гордей Иосифович,+7 (400) 192-55-47,"г. Билибино, ул. Кольцова, д. 52, 155992",M,453126710352,ibespalov,"['http://www.ip.info/', 'https://guljaev.info/', 'http://www.ao.ru/', 'http://ao.info/']"
197,"к. Черняховск, ул. Вокзальная, д. 35, 347577",1971-07-07,A+,АО «Смирнов»,Фермер,vadim2011gedeon_1997@rambler.ru,Королева Анастасия Федоровна,+7 338 114 9849,"ст. Стерлитамак, ул. Пригородная, д. 88, 385126",F,011460065288,silinvladlen,"['http://www.npo.info/', 'http://www.rao.net/', 'https://rao.ru/', 'http://rao.edu/']"
198,"к. Ханты-Мансийск, ул. Свободы, д. 68, 049875",1992-03-22,B-,НПО «Лебедева Аксенов»,Повар,hfedorova@yandex.ru,Рябова Анжела Тимофеевна,+7 (547) 769-6023,"с. Хабаровск, ул. Приморская, д. 33, 179188",F,783544720569,vorobevbronislav,['https://www.rao.info/']
199,"п. Каменномостский, ул. Раздольная, д. 63, 372550",1996-09-26,B-,"РАО «Носова, Корнилова и Орлов»",Министр,sobolevvjacheslav@hotmail.com,Гурьев Венедикт Якубович,+7 (534) 168-68-68,"ст. Кажим, ул. Свободы, д. 75, 243915",M,828008791466,iosif1971valentina_2012,"['https://www.ip.info/', 'https://www.rao.ru/', 'http://www.npo.biz/']"
200,"п. Рыбинск, ул. Серафимовича, д. 08, 960993",2007-03-07,A-,"НПО «Мамонтова, Симонов и Лукина»",Стрелочник,lapinaevfrosinija@gmail.com,Горбачев Фортунат Фокич,+7 818 180 7456,"г. Когалым, ул. Кузнечная, д. 96, 571357",M,935686142240,ltretjakova,"['https://ershova.edu/', 'https://rao.biz/', 'http://npo.edu/']"
201,"п. Гатчина, ул. Станционная, д. 30, 469325",2011-06-13,A+,ИП «Одинцов-Козлова»,Декоратор,valentinkrjukov@mail.ru,Михеева Галина Артемовна,+7 258 828 9789,"п. Лабытнанги, ул. Горняцкая, д. 53, 320341",F,798589676797,sorokinaoktjabrina,['http://www.ao.org/']
202,"г. Мончегорск, ул. Лазурная, д. 86, 641255",1980-04-27,AB-,АО «Васильева»,Сапожник,radislav2005irina_1997@yahoo.com,Беляев Фотий Харлампьевич,+7 885 829 39 20,"к. Цимлянск, ул. Пугачева, д. 06, 604794",M,393774391359,mina_12,"['http://www.ao.org/', 'http://www.rao.com/', 'https://www.subbotina.ru/', 'https://www.ip.info/']"
203,"к. Когалым, ул. Городская, д. 90, 766527",1976-08-24,B+,"ИП «Сорокина, Горшков и Кудряшов»",Водитель,tretjakovsolomon@yandex.ru,Блинова Лидия Тимофеевна,+7 299 066 10 93,"д. Сеймчан, ул. Вишневая, д. 23, 671959",F,623525252247,mamontovfade,"['https://www.konovalova.org/', 'https://www.rao.edu/', 'http://www.poljakova.com/', 'http://npo.org/']"
204,"клх Тулпан, ул. Саратовская, д. 47, 845767",1973-08-23,A+,"ИП «Орехов, Некрасов и Большаков»",Инкассатор,ostapborisov@hotmail.com,Фомичева Регина Вадимовна,+7 590 112 0191,"с. Светлогорск (Калин.), ул. Максима Горького, д. 04, 620569",F,119640475375,german2001porfiri_2007,"['https://www.npo.info/', 'http://ao.biz/', 'http://ip.net/', 'http://www.ao.edu/']"
205,"д. Ижевск, ул. Водников, д. 10, 260874",2012-01-05,A-,АО «Моисеева-Соколов»,Сексопатолог,fzhdanova@rambler.ru,Матвеев Христофор Эдгардович,+7 (508) 483-3270,"д. Калуга, ул. Ульяновская, д. 12, 386118",M,046834558237,fokinjakov,"['https://www.ao.edu/', 'https://npo.info/']"
206,"п. Соболево, ул. Окружная, д. 19, 558029",2008-05-26,B+,"НПО «Комиссаров, Ильин и Большакова»",Андролог,izot_99@hotmail.com,Блинова Эмилия Валериевна,+7 (829) 922-91-27,"ст. Быково (метеост.), ул. Троицкая, д. 97, 839130",F,408294469245,safonovaanna,"['http://www.ip.info/', 'http://merkusheva.info/']"
207,"клх Кяхта, ул. Гагарина, д. 61, 540001",1989-11-23,AB+,АО «Терентьева Одинцова»,Пастух,fedorevdokimov@gmail.com,Вишнякова Синклитикия Валентиновна,+7 (029) 778-63-89,"к. Ершов, ул. Рабочая, д. 08, 631788",F,628539377330,ppotapov,"['https://ao.net/', 'https://ip.org/']"
208,"к. Льгов, ул. Гвардейская, д. 49, 452314",1972-03-15,B+,ИП «Воробьев Никонов»,Радиомеханик,budimir2016alevtina_2001@yandex.ru,Беспалов Лука Ильич,+7 (511) 297-5115,"д. Чусовой, ул. Терешковой, д. 51, 040248",M,065761427570,moise1972naina_1999,"['http://www.rao.edu/', 'https://www.ao.ru/', 'https://rao.net/']"
209,"клх Апшеронск, ул. Мирная, д. 10, 117247",1984-06-14,B-,РАО «Крылова»,Модель,rjabovkirill@rambler.ru,Ермакова Валентина Ждановна,+7 552 299 5982,"г. Ноглики, ул. Курчатова, д. 99, 037231",F,954767047284,idjachkov,"['http://www.abramov.biz/', 'http://www.npo.ru/']"
210,"клх Иркутск, ул. Плеханова, д. 04, 344554",1985-11-23,0+,"РАО «Шубин, Шашков и Смирнов»",Гинеколог,fadeevaangelina@yahoo.com,Шашкова Оксана Богдановна,+7 111 316 2813,"ст. Моршанск, ул. Базарная, д. 82, 985600",F,407271122733,ljudmila_90,"['https://www.rao.info/', 'https://www.ao.edu/', 'http://ao.org/']"
211,"с. Устюжна, ул. Выгонная, д. 72, 894631",2012-05-12,B+,"РАО «Маслов, Самсонов и Громова»",Стилист,pantelemonartemev@yandex.ru,Волков Никифор Евсеевич,+7 264 175 4252,"п. Усть-Камчатск, ул. Крестьянская, д. 00, 327524",M,127784546473,vikenti83,"['https://ao.ru/', 'http://www.ao.info/', 'http://www.ao.com/']"
212,"г. Гремячинск (Перм.), ул. Заливная, д. 47, 556219",1978-10-03,AB+,"ИП «Миронов, Сергеев и Тихонов»",Логопед,evgraf_75@hotmail.com,Мишин Ратмир Филатович,+7 057 933 47 33,"к. Амурск, ул. Студенческая, д. 99, 110412",M,996650449759,mkuzmina,"['http://www.ao.com/', 'https://ip.com/', 'https://ao.com/']"
213,"ст. Аша, ул. Куйбышева, д. 24, 458574",1983-04-14,B+,ИП «Фомина-Симонов»,Военный прокурор,elizar1986ostromir_2008@hotmail.com,Харитонова Лукия Тимуровна,+7 (204) 316-79-74,"ст. Котельнич, ул. Серова, д. 66, 639296",F,192100062644,filatovagalina,"['https://rao.info/', 'http://blinov.org/', 'https://www.shubin.biz/', 'http://www.rao.info/']"
214,"п. Сургут (Хант.), ул. Шишкина, д. 69, 313453",1972-06-29,AB-,Федорова,Оператор коллцентра,tarasovsilvestr@gmail.com,Новиков Милий Афанасьевич,+7 832 781 34 21,"к. Павловская, ул. Таежная, д. 89, 960872",M,591232603163,suhanovserge,"['http://www.kozlova.ru/', 'https://rao.ru/', 'https://www.kolesnikova.edu/']"
215,"клх Грозный, ул. М.Горького, д. 29, 961548",1995-03-19,AB+,"РАО «Пестов, Игнатьева и Пономарева»",Фтизиатр,arseni_61@hotmail.com,Агафонова Глафира Архиповна,+7 (942) 949-60-64,"г. Краснодар, ул. Мира, д. 05, 546628",F,670307914253,kornilovaanastasija,"['https://chernova.ru/', 'http://www.npo.com/', 'http://grigorev.edu/']"
216,"клх Всеволожск, ул. Балтийская, д. 83, 718328",2000-08-02,B+,Комиссарова,Распиловщик,sharapovmakar@mail.ru,Исаева Эмилия Харитоновна,+7 510 257 8904,"к. Сочи, ул. 1 Мая, д. 89, 500634",F,924836389245,zuevkondrati,"['http://rao.net/', 'http://rao.biz/', 'https://www.rao.org/']"
217,"клх Тутаев, ул. Ворошилова, д. 04, 685329",2007-06-07,0-,"АО «Коновалова, Фадеев и Михеев»",Заточник,cmaslova@mail.ru,Карпова Таисия Александровна,+7 (299) 192-65-30,"ст. Ряжск, ул. Чехова, д. 01, 251111",F,481675095080,kir2017alina_2018,['https://ip.ru/']
218,"г. Оленегорск (Якут.), ул. Шолохова, д. 60, 225865",2009-12-11,0-,Ковалев,Сомнолог,zuevinnokenti@hotmail.com,Гурьева Наина Мироновна,+7 416 449 46 39,"клх Пермь, ул. Коммунаров, д. 64, 079521",F,902264207500,ladimir_31,"['https://www.npo.info/', 'http://rao.ru/', 'https://www.rao.biz/', 'https://www.tsvetkov.edu/']"
219,"п. Шадринск, ул. Моховая, д. 71, 577630",1989-10-24,0-,"АО «Панов, Молчанов и Данилов»",Военный переводчик,boris1994elena_2007@mail.ru,Тимофеева Алевтина Руслановна,+7 866 383 26 42,"д. Качканар, ул. Станиславского, д. 61, 490851",F,796821942624,morozovvissarion,"['http://rao.ru/', 'https://npo.ru/', 'https://www.ao.edu/', 'https://rao.org/']"
220,"ст. Мичуринск, ул. Заводская, д. 42, 511842",1981-03-19,AB-,Никонова,Телемастер,belovvladimir@yahoo.com,Куликов Валерий Ефимович,+7 925 141 6856,"с. Тутончаны, ул. Бажова, д. 53, 135820",M,712782315509,prohor1996gostomisl_2000,"['http://ao.info/', 'http://komissarova.org/', 'https://rao.edu/']"
221,"п. Балтийск, ул. Кузнецова, д. 40, 790616",1977-11-22,B-,АО «Яковлева-Ефремов»,Месильщик,okrilova@yahoo.com,Сазонова Анна Наумовна,+7 (097) 319-6612,"д. Красноярск, ул. 8-е Марта, д. 74, 630079",F,218958176681,belovpantelemon,"['https://ip.com/', 'https://ao.biz/']"
222,"д. Валдай, ул. Седова, д. 17, 087543",2014-08-16,A-,"НПО «Исаева, Фадеева и Мухин»",Трейдер,emeljankulikov@mail.ru,Ершов Светозар Федотович,+7 922 764 50 58,"к. Томари, ул. 8-е Марта, д. 22, 623005",M,754299063612,rozhkovkir,"['http://ao.edu/', 'http://ip.net/', 'https://www.ao.biz/', 'https://npo.com/']"
223,"д. Кировск (Мурм.), ул. Ореховая, д. 99, 594465",1993-01-03,0+,"РАО «Лаврентьева, Колесникова и Моисеева»",Квасник,nazarmarkov@yahoo.com,Ершов Серафим Богданович,+7 (263) 806-7299,"к. Тавда, ул. Угловая, д. 85, 678153",M,761333682175,matveevagge,['http://rao.ru/']
224,"клх Клин, ул. Горького, д. 50, 997589",2009-02-27,0+,"РАО «Корнилова, Силин и Борисов»",Танатолог,mariansokolov@yandex.ru,Власова Татьяна Альбертовна,+7 247 167 13 12,"п. Мирный, ул. Речная, д. 46, 808497",F,178743812422,fedotovataisija,"['http://www.npo.com/', 'https://www.ao.org/']"
225,"к. Юрьев-Польский, ул. Заозерная, д. 95, 894964",1974-02-25,0-,"РАО «Дроздов, Павлова и Николаев»",Военный прокурор,marian2006feliks_1977@yandex.ru,Евсеев Михей Демидович,+7 (164) 335-87-19,"д. Мытищи, ул. Ивановская, д. 96, 824004",M,460633567717,eblohina,"['http://www.ao.ru/', 'http://ip.biz/']"
226,"ст. Челябинск, ул. Ударная, д. 45, 257221",1979-02-13,B+,РАО «Романова Зиновьева»,Виноградарь,epifan1989ostromir_1998@mail.ru,Орехов Ерофей Егорович,+7 (965) 393-96-73,"к. Сосновый Бор, ул. Мелиоративная, д. 88, 535375",M,072353033978,tretjakovbronislav,"['https://rao.info/', 'https://www.rao.com/', 'https://sharova.biz/']"
227,"д. Верхоянск, ул. Геологов, д. 86, 895769",1970-07-03,0-,РАО «Соколова Комаров»,Типограф,krjukovatatjana@mail.ru,Лапина Татьяна Анатольевна,+7 688 393 89 46,"клх Валаам, ул. Совхозная, д. 98, 695911",F,535922216803,radovan1979borislav_2018,"['http://www.ip.ru/', 'https://www.rao.ru/', 'https://npo.net/', 'https://www.ao.edu/']"
